article,study_ID,reference,product_type,product_detail,product,innovativeness,sustainability,health,animal_welfare,first_year,period_data_collection,choice_experiment,collection_type,sample_size,continent,country,dependent_variable,consumer_type,consumer_group_paper,WTP_estimate,WTP_adjusted,unit,reference_product,price_WTP_reference,relative_difference,WTP_OR_logit_coefficient,SE_OR_SD,Price_estimate,SE_price,SE_WTP,relative_SE_WTP,group_share
"Altmann, B.A., Anders, S., Risius, A. and Mörlein, D., 2022. Information effects on consumer preferences for alternative animal feedstuffs. Food Policy, 106, p.102192.

https://doi.org/10.1016/j.foodpol.2021.102192",Altmann2022,Altmann et al. (2022),improved_health,chicken,chicken fed with spirulina algae,1,0,1,0,2018,2018,1,online,1074,Europe,Germany,WTP,average,average,-1,4.98,€/kg,average retail price for chicken in choice set,5.98,-0.16722408026755853,0.36,0.12,-0.36,0.01,0.33448873829978598,0.055934571622037785,1
"Altmann, B.A., Anders, S., Risius, A. and Mörlein, D., 2022. Information effects on consumer preferences for alternative animal feedstuffs. Food Policy, 106, p.102192.

https://doi.org/10.1016/j.foodpol.2021.102192",Altmann2022,Altmann et al. (2022),insects,chicken,chicken fed with insects,1,1,0,0,2018,2018,1,online,1074,Europe,Germany,WTP,average,average,1,6.98,€/kg,average retail price for chicken in choice set,5.98,0.16722408026755853,0.36,0.08,-0.36,0.01,0.22395160411940418,0.03745010102331173,1
"Arenna, Goddard, E. and Muringai, V., 2019. Consumer purchase intentions for pork with enhanced carnosine–A functional food. Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie, 67(2), pp.151-169.

https://doi.org/10.1111/cjag.12190",arenna2019,Arenna et al. (2019),improved_health,pork,carnosine enhanced pork,1,0,1,0,2015,2015,1,online,992,North_America,Canada,"WTP for pork with carnosine health claim (they also show effects for carnosine in nutrition information, but unclear if consumers are aware)",average,average,-2.73,1.2799999999999998,"$/0,405 kg",average retail price of pork,4.01,-0.6807980049875312,7.55,1.2928082191780821,-0.37,1.2499999999999999E-2,0.47647723310867823,0.11882225264555568,NA
"Arora, R.S., Brent, D.A. and Jaenicke, E.C., 2020. Is India ready for alt-meat? Preferences and willingness to pay for meat alternatives. Sustainability, 12(11), p.4377.

https://doi.org/10.3390/su12114377",arora2020,Arora et al. (2020),plant_based,meat,plant-based meat,0,1,0,0,2018,2018,1,in_person,394,Asia,India,WTP estimates with respect to conventional meat in USD,average,average,138.04,288.03999999999996,rupee/kg,conventional meat price,150,0.9202666666666665,NA,NA,NA,NA,71.326284220038929,0.4755085614669262,1
"Arora, R.S., Brent, D.A. and Jaenicke, E.C., 2020. Is India ready for alt-meat? Preferences and willingness to pay for meat alternatives. Sustainability, 12(11), p.4377.

https://doi.org/10.3390/su12114377",arora2020,Arora et al. (2020),plant_based,meat,plant-based meat,0,1,0,0,2018,2018,1,in_person,394,Asia,India,WTP estimates with respect to conventional meat in USD,ecological,Class 1 - vegetarian,222.7,372.7,rupee/kg,conventional meat price,150,1.4846666666666666,1.2949999999999999,0.35799999999999998,-0.01,5.0000000000000001E-3,127.23625502946192,0.8482417001964127,0.21
"Arora, R.S., Brent, D.A. and Jaenicke, E.C., 2020. Is India ready for alt-meat? Preferences and willingness to pay for meat alternatives. Sustainability, 12(11), p.4377.

https://doi.org/10.3390/su12114377",arora2020,Arora et al. (2020),plant_based,meat,plant-based meat,0,1,0,0,2018,2018,1,in_person,394,Asia,India,WTP estimates with respect to conventional meat in USD,traditionalist,Class 2 - meat,-65.28,84.72,rupee/kg,conventional meat price,150,-0.43520000000000003,2.3380000000000001,0.52900000000000003,-1.0999999999999999E-2,5.0000000000000001E-3,33.145655971864848,0.22097103981243232,0.275
"Arora, R.S., Brent, D.A. and Jaenicke, E.C., 2020. Is India ready for alt-meat? Preferences and willingness to pay for meat alternatives. Sustainability, 12(11), p.4377.

https://doi.org/10.3390/su12114377",arora2020,Arora et al. (2020),plant_based,meat,plant-based meat,0,1,0,0,2018,2018,1,in_person,394,Asia,India,WTP estimates with respect to conventional meat in USD,intermediate,Class 3,261.2,411.2,rupee/kg,conventional meat price,150,1.7413333333333332,3.7320000000000002,0.51300000000000001,-1.9E-2,4.0000000000000001E-3,65.673247610918693,0.437821650739458,0.32
"Arora, R.S., Brent, D.A. and Jaenicke, E.C., 2020. Is India ready for alt-meat? Preferences and willingness to pay for meat alternatives. Sustainability, 12(11), p.4377.

https://doi.org/10.3390/su12114377",arora2020,Arora et al. (2020),plant_based,meat,plant-based meat,0,1,0,0,2018,2018,1,in_person,394,Asia,India,WTP estimates with respect to conventional meat in USD,technology_open,Class 4,130.79,280.78999999999996,rupee/kg,conventional meat price,150,0.8719333333333331,2.0219999999999998,0.80600000000000005,-0.01,4.0000000000000001E-3,73.858041000485244,0.49238694000323496,0.196
"Arora, R.S., Brent, D.A. and Jaenicke, E.C., 2020. Is India ready for alt-meat? Preferences and willingness to pay for meat alternatives. Sustainability, 12(11), p.4377.

https://doi.org/10.3390/su12114377",arora2020,Arora et al. (2020),lab_gene_engin,meat,cell-based meat,1,1,0,0,2018,2018,1,in_person,394,Asia,India,WTP estimates with respect to conventional meat in  USD,average,average,56.98,206.98,rupee/kg,conventional meat price,150,0.3798666666666666,NA,NA,NA,NA,46.314004703935581,0.30876003135957053,1
"Arora, R.S., Brent, D.A. and Jaenicke, E.C., 2020. Is India ready for alt-meat? Preferences and willingness to pay for meat alternatives. Sustainability, 12(11), p.4377.

https://doi.org/10.3390/su12114377",arora2020,Arora et al. (2020),lab_gene_engin,meat,cell-based meat,1,1,0,0,2018,2018,1,in_person,394,Asia,India,WTP estimates with respect to conventional meat in  USD,ecological,Class 1 - vegetarian,35.3,185.3,rupee/kg,conventional meat price,150,0.23533333333333342,3.1659999999999999,0.78700000000000003,-0.01,5.0000000000000001E-3,19.710912617898533,0.13140608411932356,0.21
